agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone
"2433","Busways Western Sydney","http://transportnsw.info","Australia/Sydney","EN","131500"
"2434","Interline Bus Services","http://transportnsw.info","Australia/Sydney","EN","131500"
"2435","Transit Systems","http://transportnsw.info","Australia/Sydney","EN","131500"
"2436","Hillsbus","http://transportnsw.info","Australia/Sydney","EN","131500"
"2437","Punchbowl Bus Company","http://transportnsw.info","Australia/Sydney","EN","131500"
"2438","State Transit Sydney","http://transportnsw.info","Australia/Sydney","EN","131500"
"2439","State Transit Sydney","http://transportnsw.info","Australia/Sydney","EN","131500"
"2440","State Transit Sydney","http://transportnsw.info","Australia/Sydney","EN","131500"
"2441","State Transit Sydney","http://transportnsw.info","Australia/Sydney","EN","131500"
"2442","Transdev NSW","http://transportnsw.info","Australia/Sydney","EN","131500"
"2443","Transdev NSW","http://transportnsw.info","Australia/Sydney","EN","131500"
"2444","Transdev NSW","http://transportnsw.info","Australia/Sydney","EN","131500"
"2445","Forest Coach Lines","http://transportnsw.info","Australia/Sydney","EN","131500"
"2446","Busabout","http://transportnsw.info","Australia/Sydney","EN","131500"
"2447","Rover Coaches","http://transportnsw.info","Australia/Sydney","EN","131500"
"2448","Hunter Valley Buses","http://transportnsw.info","Australia/Sydney","EN","131500"
"2449","Port Stephens Coaches","http://transportnsw.info","Australia/Sydney","EN","131500"
"2450","Hunter Valley Buses","http://transportnsw.info","Australia/Sydney","EN","131500"
"2452","Busways Central Coast","http://transportnsw.info","Australia/Sydney","EN","131500"
"2453","Red Bus Service","http://transportnsw.info","Australia/Sydney","EN","131500"
"2454","Blue Mountains Transit","http://transportnsw.info","Australia/Sydney","EN","131500"
"2455","Premier Charters","http://transportnsw.info","Australia/Sydney","EN","131500"
"2456","Premier Illawarra","http://transportnsw.info","Australia/Sydney","EN","131500"
"2457","Coastal Liner","http://transportnsw.info","Australia/Sydney","EN","131500"
"2458","Dions Bus Service","http://transportnsw.info","Australia/Sydney","EN","131500"
"3000","Newcastle Transport","http://transportnsw.info","Australia/Sydney","EN","131500"
