service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"1","0","1","1","1","1","0","0","20180710","20180720"
"2","1","1","1","1","0","0","0","20180528","20180809"
"3","0","0","0","1","0","0","0","20180712","20180719"
"4","1","1","1","1","1","0","1","20180504","20181231"
"5","0","1","1","1","1","0","0","20180504","20180720"
"6","0","0","0","1","1","0","0","20180504","20180810"
"7","0","0","0","0","0","1","0","20180505","20180707"
"8","0","0","0","1","1","1","0","20180504","20180811"
"9","0","0","0","0","1","0","0","20180504","20180810"
"10","1","1","1","1","1","0","0","20180515","20180810"
"11","0","0","1","1","0","0","0","20180516","20180809"
"12","0","0","0","0","0","1","0","20180602","20180811"
"13","1","1","1","1","1","0","0","20180504","20181219"
"14","1","1","1","1","1","0","0","20180709","20181231"
"15","0","0","0","0","0","0","1","20180506","20180812"
"16","1","1","1","1","1","1","1","20180504","20181231"
"17","0","0","0","1","1","0","0","20180504","20180525"
"18","0","1","1","1","0","0","0","20180508","20180809"
"19","1","1","1","1","1","1","1","20180504","20181231"
"20","0","0","0","0","0","0","1","20180506","20181125"
"21","0","1","1","1","1","0","0","20180508","20180810"
"22","0","1","1","1","1","1","0","20180505","20180811"
"23","1","1","1","1","1","1","1","20180505","20180813"
"24","0","0","0","0","0","1","0","20180505","20180811"
"25","0","0","0","0","1","1","1","20180505","20180812"
"26","0","0","0","0","1","1","0","20180504","20180811"
"27","1","1","1","1","1","0","0","20180504","20180810"
"28","1","1","1","1","0","0","0","20180507","20180809"
"29","0","0","0","0","1","0","0","20180504","20180504"
"30","0","0","0","0","0","0","1","20180506","20181230"
"31","0","0","0","0","0","0","1","20180506","20180506"
"32","1","1","1","1","0","0","1","20180503","20180809"
"33","1","1","1","1","1","0","0","20180504","20180723"
"34","1","1","0","1","1","0","0","20180504","20180810"
"35","1","0","0","0","0","0","0","20180504","20180723"
"36","1","1","1","1","1","1","0","20180504","20180811"
"37","1","0","0","0","0","0","0","20180504","20180723"
"38","1","1","1","1","1","0","1","20180504","20180723"
"39","0","0","0","0","0","0","1","20180506","20180701"
"40","1","1","0","1","1","0","0","20180504","20180723"
"41","0","0","0","0","0","1","1","20180505","20180513"
"42","0","0","0","0","1","1","0","20180525","20180811"
"43","1","0","1","1","1","0","0","20180507","20180810"
"44","1","0","0","1","1","0","0","20180507","20180810"
"45","1","1","0","0","1","0","0","20180507","20180810"
"46","0","0","0","1","0","0","0","20180510","20180809"
"47","1","1","1","1","0","0","0","20180507","20180809"
"48","0","0","0","0","0","1","1","20180505","20180812"
"49","0","0","0","0","1","0","0","20180504","20180518"
"50","1","1","1","0","0","0","0","20180507","20180808"
"51","0","0","0","0","1","0","0","20180511","20180810"
"52","1","1","1","1","1","0","0","20180507","20180810"
"53","1","1","1","1","0","0","1","20180503","20180722"
"54","1","1","1","0","0","0","0","20180506","20180808"
"55","1","1","1","1","1","0","0","20180504","20180810"
"56","0","0","0","0","0","1","1","20180505","20180506"
"57","0","0","0","0","0","1","0","20180512","20180512"
"58","0","0","0","0","0","0","1","20180527","20180812"
"59","1","1","1","1","0","0","0","20180507","20181231"
