note_id,note_text
"241","Public school days bus diverts from North Parade via Rooty Hill Rd Nth, Spencer St, Kimberley St and Railway St to Francis Rd, omitting the stop at Rooty Hill RSL on Sherbrooke St. Public school holidays bus commences from Mt Druitt Interchange 10 minutes later than time shown and operates via standard route"
"243","Blacktown Hospital Diversion. Bus operates to Bungarribee Rd & Lock St via Newton Rd, Main St, Marcel Cres & Panorama Pde in lieu of Patrick St South & Bungarribee Rd"
"244","Bus operates from Wolseley Rd via Pitt Town Rd to Old Hawkesbury Rd, omitting Plimsoll St"
"245","Minchinbury Industrial Area diversion. Bus operates via Coates St, Great Western Hwy, Colyton Rd, Sterling Rd, Sargents Rd, Archbold Rd to Robinson St (or vice versa) omitting Miller St, George St and Archbold Rd between Great Western Hwy and Robinson St"
"246","Service operates Friday nights only"
"247","Bus continues full length of Captain Cook Dr and terminates corner of Palmyra Av"
"248","Public school days bus operates from Carlisle Ave to Mt Druitt Station South Side (Coates St) via Beams Ave"
"249","Public school days, bus operates from Argyle St via Cox St, James St, Church St, Campbell St, George St & then normal route to Windsor Station then via George St, Hawkesbury Valley Way, Moses St, Tebbutt St, George St, Dight St, Macquarie St to Fitzgerald St, omitting part of George St and Suffolk St"
"250","Public school days bus diverts from Kildare Rd via Blue Hills Cres back to Kildare Rd, omitting the stop on Kildare Rd between the two Blue Hills Cres"
"253","Bus operates from Kurrajong Rd via Chapel St, Windsor St, West Market St, March St & East Market St to Richmond Station"
"254","Bus diverts via Hatherton Rd, Forrester Rd & Ellsworth Dr to Rymill Rd, then travels via Rymill Rd to Hatherton Rd"
"255","Bus stops at Pitt Town Shopping Village side of Eldon St, opposite normal bus stop, then diverts via Eldon St to Old Pitt Town Rd, omitting Glebe Rd"
"257","Bus operates via Grose Vale Rd, Pecks Rd, Arthur Phillip Dr to Ron Middleton VC Gardens, then returns to North Richmond via Arthur Phillip Dr, Pecks Rd, Campbell St & William St"
"258","Bus operates direct via Stanhope Pkwy, omitting Ridgeline Dr, Riverbank Dr & The Ponds Blvd"
"259","Bus continues from Kurrajong via Grose Vale Rd, Bells Rd & Grose Vale Rd"
"260","Bus diverts via Richmond schools, omitting Windsor St between Richmond Station & Bosworth St"
"263","Bus operates to Riverstone Station via Riverstone Schools, omitting Crown St between Hamilton St & Riverstone Pde, and Riverstone Pde"
"267","Change buses to continue Journey"
"269","Willmot loop service. Sets down passengers for Captain Cook Dr on return journey"
"270","Bus commences from Windsor High School (Mulgrave Rd) 4 minutes earlier, operating via Windsor Rd, McGraths Rd & Old Hawkesbury Rd to Meares Rd"
"272","Public school days bus diverts via Rooty Hill Rd South, Cawarra St, Great Western Hwy &  Beaconsfield Rd, omitting Evans Rd and Beaconsfield Rd between Rooty Hill Rd South & Gardner St"
"273","Bus diverts from Old Pitt Town Rd via Mason Rd, Terry Rd and Hyndes Rd, omitting Nelson Rd between Mason Rd & Edwards Rd"
"274","Bus commences from Rosenthal St near Douglas Rd 3 minutes earlier \ continues to Rosenthal St near Douglas Rd"
"279","Bus operates from Pitt Town Rd via Old Hawkesbury Rd to Meares Rd, omitting Plimsoll St & Wolseley Rd"
"281","Bus operates via Flushcombe Rd direct between Fullam Rd & Bungarribee Rd, omitting Fullam Rd, Lock St & part of Bungarribee Rd"
"283","Bus departs from opposite Riverstone Station on Riverstone Pde & operates to Junction Rd & Windsor Rd via Riverstone schools, omitting Riverstone Pde & Crown St between Hamilton St & Riverstone Pde"
"284","Bus operates from Buckwell Dr via Luxford Rd & Carlisle Ave to Mt Druitt"
"286","Public school days bus diverts from Lethbridge Ave via Heavey St, Burton St & Victoria St, omitting Lethbridge Ave between Heavey St & Victoria St"
"287","Public school days bus diverts via South Blacktown schools to corner Newton Rd and Allawah St, omitting Westpoint Tunnel and the stop on Newton Rd at Kirkman Rd. Public school holidays bus operates through timing point 10 minutes later than time shown"
"301","Departs from Stand B"
"302","Bus operates through Smeaton Grange via Hartley Rd Orielton Rd & Smeaton Grange Rd"
"304","Bus departs from Camden Valley Way adjacent to Narellan Town Centre"
"312","Journey commences from Greengate Rd & Merino Cres 3 minutes before Greengate Rd & Riverside Dr time"
"325","Bus operates to Campbelltown Station via Cordeaux St & Railway St omitting Dumaresq St"
"328","Bus operates via Narellan Rd & Hurley St direct omitting Macarthur Square"
"330","Bus commences from corner Waterworth Drive & Welling Road 3 minutes earlier"
"331","Bus diverts via St Johns Rd & The Parkway loop to Akuna Ave. Time shown is at corner of The Parkway & Yulunga Pl"
"335","Bus operates via Werombi Rd between Siverdale Rd & Bobs Range Rd"
"338","Public school holidays bus continues to Campbelltown Station arriving at 1503"
"344","Bus operates direct along Burragorang Rd omitting The Oaks Shops"
"347","Bus operates from Campbelltown via Appin Rd & St Johns Rd to The Parkway at Kippara Pl bypassing Lawn Ave & Jacaranda Ave"
"349","Bus operates via Carrington Hospital"
"352","Bus operates to or from Campbelltown Station via Broughton St direct omitting Dumaresq St"
"354","Bus operates via Glen Alpine Dr & Heritage Way to the corner of Mt Sugarloaf Dr & Heritage Way then normal Route 886"
"358","Bus operates via Campbelltown Public Hospital"
"367","Bus diverts via Menangle Rd to Durham Green Retirement Village"
"379","Bus does not operate into Wollongong University"
"381","Bus omits Macarthur Square operating via Hurley St direct"
"382","Bus departs from Stand B"
"387","Bus operates via Cawdor Rd & Burragarong Rd to or from Camden omitting Werrombi Rd & Mayfarm Rd"
"397","On school days bus operates via Hill Rd direct to Hillview Pde & diverts via Lurnea High"
"398","Bus operates via Route 872 (Parkhill Ave) between Pembroke Rd and Townson Ave"
"399","Change buses at Carnes Hill Marketplace for travel to Prestons, Casula & Liverpool"
"401","Bus diverts via Macquarie Links Dr to Governors Way roundabout"
"405","Bus operates via Leacocks Ln"
"408","On school days bus diverts via Harold St to and from Macquarie Fields High School"
"409","NOT via Braidwood Dr loop. Bus travels along Wroxham St, Braidwood Dr and Corfield Rd"
"410","Diverts via Canterbury Rd, Harrow Rd, Newtown Rd, Salisbury Av & Railway Pde to Glenfield Stn"
"411","Bus sets down in this area at stops on the opposite side of the road to normal"
"412","On school days bus diverts to St Johns School then Campbelltown High School"
"413","On school days bus diverts via Chamberlain St, Moore-Oxley Bypass and Dumaresq St"
"414","For Liverpool, change buses at Catherine Field Rd (school days) & at Leppington Hotel (vacation)"
"416","Bus operates via Railway Pde, Salisbury Av, Newtown, Harrow & Canterbury Rds to Belmont Rd"
"419","On school days bus diverts to and from Macquarie Fields High School"
"420","Bus operates firstly via Minto Marketplace then to Oran Park"
"421","After John Edmondson HS the next stop is at Horningsea Pk Dr, past Brindabella, then all stops"
"423","On school days bus diverts via Myall Rd to and from Casula High School"
"424","Bus operates via Reserve Rd and Graham Ave to Hume Hwy"
"425","On school days bus diverts via Lurnea High School"
"429","Bus departs Long Point at 6.29am and 7.11am"
"434","Continues to Liverpool I/change and schools via route 854"
"435","Operates beyond Ramsay Rd to Rutleigh Park on request only. Please request on boarding bus"
"436","Bus operates in a clockwise direction around Braidwood Dr"
"438","Bus Terminates at Glenfield Station"
"440","Bus diverts via Kingsford Smith Ave, Southern Cross Ave, and Hall Cct to Qantas Blvd"
"442","Bus diverts along Ash Rd & Dalmeny Dr northern entrance to terminate at Dalmeny Public school"
"443","Bus operates via Bligh Ave between Wonga Rd & Kurrajong Rd"
"447","Bus continues along Cowpasture Rd to the stop opposite the footpath to Chapman St"
"448","Bus operates via Leacocks Lane"
"450","Bus Terminates at Oran Park Town Centre"
"456","Bus Diverts from Qantas Blvd via Hall Cct and Southern Cross Av to Kingsford Smith Av"
"457","Bus continues to Long Point"
"461","On school days bus does not stop along Jedda Rd or Hill Rd"
"464","Bus operates to and from Minto Marketplace"
"465","Bus commences from corner Collins Prom and Chester Rd 4 minutes earlier"
"593","First Set Down Howard Ave, Dee Why then Warringah Mall, Manly Vale Shops, Spit Junction, Neutral Bay Junction, and Wynyard"
"599","Divert via Ocean, Albemarle, Lagoon & Waterloo St"
"600","First set down Maretimo St. Seaforth"
"601","First set down Forest Way"
"603","All Stops Via Sth Creek Rd, L Pittwater, R Berry, L Collins, R Walsh, L Sydney, Marrabeen Park, L Coronation, R Pittwater, via Rte 190, Operates via Newport Loop.  Barrenjoey Rd, R Whale Beach Rd, L Burrawong Rd, L Careel Head Rd"
"604","Public school days operates 9 minutes earlier than time shown"
"607","Public school days bus diverts via Brisbane St & Ocean Pd, omitting Oleander St between Brisbane St & Evans Rd"
"611","Bus commences from Manns Rd & Dell Rd, West Gosford 9 minutes earlier"
"612","Bus operates via Sunset St, Day St & Kinarra Av or vice versa, omitting Wyoming Rd & Pacific Hwy between Bourbon St & Kinarra Av"
"613","Bus runs via Wyong TAFE"
"614","Bevington Shores Diversion along Sunrise Av"
"616","Bus runs via San Remo to Wills Rd & Barker Av, then to Blue Haven via Central Coast Hwy, Pacific Hwy, Roper Rd then via normal route"
"618","Omits Lake Munmorah. Catch bus on Pacific Hwy"
"619","Bus operates via Cary St, Maidens Brush Rd & reverse of normal Route 38 through Wyoming to Sunset St & Day St"
"622","Bus operates from McMasters Rd via Ocean Beach Rd, Rawson Rd, Edward St, Victoria Rd & George St to Woy Woy Station"
"626","Bus operates via Kariong Loop"
"627","Change buses at Northlakes High School for travel to Lake Haven Shops & Wyong"
"629","Bus operates via Kariong loop"
"631","Route 92 service operating clockwise around lake"
"634","Bus operates via Route 33 through West Gosford & Somersby Industrial Areas, then returns to the Kariong Loop via the Central Coast Hwy"
"636","Bus diverts from Pacific Hwy along Central Coast Hwy, Wills Rd, Richardson Rd & Goorama Av, Pacific Hwy, Roper Rd, then via normal route to Lake Haven"
"638","Bus diverts public school days from Terrigal Dr via Havenview Rd & Junction Rd"
"639","Bus commences from or terminates at Kincumber Church"
"640","Bus commences from or terminates at Empire Bay PS"
"641","Bus commences from\continues to The Scenic Rd & Cullens Rd"
"643","Route 90 service operating anti-clockwise around lake"
"644","Bus operates from McMasters Rd via Ocean Beach Rd & Railway St to Woy Woy Station"
"646","Bus operates from Blackwall Rd via Memorial Av & Karingi St, omitting McMasters Rd, Dunmore St, Wyalong Rd, Springwood St, Beach St, Barrenjoey Rd & Uligandi St"
"650","Bus operates via Mt Ettalong loop"
