route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
"2433_4001","2433","4001","Penrith Station to McCarthy College","School Buses","712","00B5EF","FFFFFF"
"2433_4002","2433","4002","Swallow Dr opp Skylark Cres to Caroline Chisholm College","School Buses","712","00B5EF","FFFFFF"
"2433_4003","2433","4003","Caroline Chisholm College to York PS via Regentville PS","School Buses","712","00B5EF","FFFFFF"
"2433_4004","2433","4004","Trinity Dr opp Pasturegate Ave to Caroline Chisholm HS","School Buses","712","00B5EF","FFFFFF"
"2433_4005","2433","4005","Weir Rd after Seventh St to Holy Family PS","School Buses","712","00B5EF","FFFFFF"
"2433_4006","2433","4006","Solander Dr at Cook Pde to Emmaus College","School Buses","712","00B5EF","FFFFFF"
"2433_4007","2433","4007","Blackwell PS, Blackwell Ave to Emmaus College","School Buses","712","00B5EF","FFFFFF"
"2433_4008","2433","4008","Bennett Rd after Shepherd St to Penrith Christian School","School Buses","712","00B5EF","FFFFFF"
"2433_4009","2433","4009","Xavier College to Henry Fulton PS","School Buses","712","00B5EF","FFFFFF"
"2433_4010","2433","4010","Weir Rd after Seventh St to Caroline Chisholm College","School Buses","712","00B5EF","FFFFFF"
"2433_4011","2433","4011","Glenmore Park HS to St Dominic's College","School Buses","712","00B5EF","FFFFFF"
"2433_4013","2433","4013","Fifth Rd opp Llandilo Rd to Llandilo PS","School Buses","712","00B5EF","FFFFFF"
"2433_4014","2433","4014","Llandilo PS to Caroline Chisholm College","School Buses","712","00B5EF","FFFFFF"
"2433_4017","2433","4017","Penrith Station to McCarthy College","School Buses","712","00B5EF","FFFFFF"
"2433_4019","2433","4019","Penrith Station to McCarthy College","School Buses","712","00B5EF","FFFFFF"
"2433_4020","2433","4020","159 Park River Cl to Penrith Christian School","School Buses","712","00B5EF","FFFFFF"
"2433_4021","2433","4021","Penrith Station to Penrith PS & Penrith HS","School Buses","712","00B5EF","FFFFFF"
"2433_4022","2433","4022","Penrith Station to St Pauls Grammar","School Buses","712","00B5EF","FFFFFF"
"2433_4027","2433","4027","Xavier College to Llandilo PS","School Buses","712","00B5EF","FFFFFF"
"2433_4033","2433","4033","Arakoon Ave at Caloola Ave to The Lakes College","School Buses","712","00B5EF","FFFFFF"
"2433_4034","2433","4034","Weir Rd at Fifth St to McCarthy College","School Buses","712","00B5EF","FFFFFF"
"2433_4036","2433","4036","Little Joeys Pre-School to Emmaus College","School Buses","712","00B5EF","FFFFFF"
"2433_4037","2433","4037","Banks Dr opp Teak St to Emmaus College","School Buses","712","00B5EF","FFFFFF"
"2433_4040","2433","4040","Swallow Dr at Fantail Cres to Emmaus College","School Buses","712","00B5EF","FFFFFF"
"2433_4042","2433","4042","Penrith Station to Penrith PS & Penrith HS","School Buses","712","00B5EF","FFFFFF"
"2433_4043","2433","4043","Colorado Dr after Explorers Way to Penrith PS & Penrith HS","School Buses","712","00B5EF","FFFFFF"
"2433_4044","2433","4044","Victoria St at Richmond Rd to Glenmore Park HS","School Buses","712","00B5EF","FFFFFF"
"2433_4047","2433","4047","Victoria St at Richmond Rd to Caroline Chisholm College","School Buses","712","00B5EF","FFFFFF"
"2433_4048","2433","4048","Taylors Rd at Silverdale Rd to Holy Family PS","School Buses","712","00B5EF","FFFFFF"
"2433_4049","2433","4049","Mulgoa Rd after School House Rd to Kingswood HS","School Buses","712","00B5EF","FFFFFF"
"2433_4050","2433","4050","Banks Dr after Mamre Rd to Emmaus College","School Buses","712","00B5EF","FFFFFF"
"2433_4052","2433","4052","Banks Dr after Mamre Rd to Erskine Park HS","School Buses","712","00B5EF","FFFFFF"
"2433_4053","2433","4053","Swallow Dr opp Skylark Cres to Emmaus College","School Buses","712","00B5EF","FFFFFF"
"2433_4055","2433","4055","Mulgoa Rd after School House Rd to McCarthy College","School Buses","712","00B5EF","FFFFFF"
"2433_4058","2433","4058","Surveyors Creek Rd at Kiber Dr to St Nicholas of Myra PS","School Buses","712","00B5EF","FFFFFF"
"2433_4059","2433","4059","McCarthy College to Penrith Sation","School Buses","712","00B5EF","FFFFFF"
"2433_4060","2433","4060","Penrith Station to Penrith Anglican College","School Buses","712","00B5EF","FFFFFF"
"2433_4062","2433","4062","Greygums Rd opp Bottlebrush Dr to St Mary Mackillop PS","School Buses","712","00B5EF","FFFFFF"
"2433_4064","2433","4064","Penrith South PS to St Pauls Grammar","School Buses","712","00B5EF","FFFFFF"
"2433_4067","2433","4067","Mamre Rd at Lonsdale St to Emmaus College","School Buses","712","00B5EF","FFFFFF"
"2433_4068","2433","4068","Bennett Rd at Lockheed Cct to Emmaus College","School Buses","712","00B5EF","FFFFFF"
"2433_4072","2433","4072","Bringelly Rd after The Northern Rd to Xavier College","School Buses","712","00B5EF","FFFFFF"
"2433_4073","2433","4073","Richmond St opp Cooper St to Xavier College","School Buses","712","00B5EF","FFFFFF"
"2433_4074","2433","4074","Caroline Chisholm College to Penrith Christian School","School Buses","712","00B5EF","FFFFFF"
"2433_4075","2433","4075","Penrith Station to Penrith Anglican College","School Buses","712","00B5EF","FFFFFF"
"2433_4077","2433","4077","Andromeda Dr before The Northern Rd to Henry Fulton PS","School Buses","712","00B5EF","FFFFFF"
"2433_4078","2433","4078","Weir Rd after Seventh St to Glenmore Park HS","School Buses","712","00B5EF","FFFFFF"
"2433_4079","2433","4079","Caloola Av before Kareela Ave to Penrith HS","School Buses","712","00B5EF","FFFFFF"
"2433_4080","2433","4080","Wallacia to Caroline Chisholm College","School Buses","712","00B5EF","FFFFFF"
"2433_4082","2433","4082","Jeanette St at Mulgoa Rd to St Dominic's College","School Buses","712","00B5EF","FFFFFF"
"2433_4083","2433","4083","Angophora Av at Caddens Rd to St Mary Mackillop PS","School Buses","712","00B5EF","FFFFFF"
"2433_4084","2433","4084","St Clair Shopping Centre to Emmaus College","School Buses","712","00B5EF","FFFFFF"
"2433_4085","2433","4085","Peppertree Dr at Dilga Cres to Holy Spirit PS","School Buses","712","00B5EF","FFFFFF"
"2433_4086","2433","4086","Mt Druitt Station to Emmaus College","School Buses","712","00B5EF","FFFFFF"
"2433_4090","2433","4090","Penrith Station to Penrith PS & Penrith HS","School Buses","712","00B5EF","FFFFFF"
"2433_4094","2433","4094","Penrith Station to McCarthy College","School Buses","712","00B5EF","FFFFFF"
"2433_4097","2433","4097","Penrith Station to Penrith PS & Penrith HS","School Buses","712","00B5EF","FFFFFF"
"2433_4098","2433","4098","Sunflower Dr at O'Connell St to Emmaus College","School Buses","712","00B5EF","FFFFFF"
"2433_4099","2433","4099","Mt Druitt Station to Chifley College Dunheved Campus","School Buses","712","00B5EF","FFFFFF"
"2433_4102","2433","4102","Allison Dr opp Langley Av to Nepean Christian School","School Buses","712","00B5EF","FFFFFF"
"2433_4103","2433","4103","Carlisle Av opp Durham St to Emmaus College","School Buses","712","00B5EF","FFFFFF"
