stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
"20002","Circular Quay, Alfred St, Stand B","-33.861592","151.211932","","","0"
"20652","Greenwich Point Wharf, Lower Serpentine Rd","-33.841786","151.181019","","","0"
"21051","HolmePort Marina, McCarrs Creek Rd","-33.645897","151.281477","","","0"
"21373","Bayview Park, Burwood Rd","-33.857865","151.120692","","","0"
"21721","Boronia Dr opp Lomandra Ct","-33.9629","150.9781","","","0"
"21723","Pleasure Point Rd at Heathcote Rd","-33.9731","150.9834","","","0"
"21751","Abbotsbury Dr after Wallgrove Rd","-33.857596","150.84861","","","0"
"21781","Trinity Primary School, Bakers Lane","-33.832446","150.789405","","","0"
"21782","Cecil Rd after Elizabeth Dr","-33.874269","150.838376","","","0"
"21783","Mamre Rd at Elizabeth Dr","-33.880433","150.807616","","","0"
"21784","Capitol Hill Dr at Bowood Rd","-33.858112","150.810798","","","0"
"21791","Unity Grammar College, School Grounds, Fifth Ave","-33.946336","150.802488","","","0"
"200013","Sussex St at Erskine St","-33.866523","151.203516","","","0"
"200015","Maritime Museum","-33.869704","151.198462","","","0"
"200017","Central Station, Railway Square, Stand J","-33.883129","151.203555","","","0"
"200018","Sussex St before Erskine St","-33.866123","151.203453","","","0"
"200019","Hickson Rd opp Roslyn Packer Theatre","-33.856907","151.204591","","","0"
"200021","Wynyard Station, Carrington St, Stand A","-33.865297","151.206375","","","0"
"200023","Wynyard Station, Carrington St, Stand B","-33.865836","151.206298","","","0"
"200024","Wynyard Station, Carrington St, Stand C","-33.866137","151.206275","","","0"
"200025","Wynyard Station, Carrington St, Stand D","-33.866449","151.206238","","","0"
"200029","Wynyard Station, York St, Stand H","-33.866871","151.20589","","","0"
"200031","Wynyard Station, York St, Stand J","-33.866443","151.205835","","","0"
"200033","Wynyard Station, York St, Stand K","-33.866192","151.205807","","","0"
"200034","Wynyard Station, York St, Stand L","-33.865957","151.205776","","","0"
"200035","Wynyard Station, York St, Stand M","-33.865522","151.205722","","","0"
"200038","King Street Wharf, Cuthbert St","-33.868057","151.202262","","","0"
"200039","Central Station, Eddy Ave, Stand A","-33.882506","151.207389","","","0"
"200041","QVB, York St, Stand A","-33.872404","151.206511","","","0"
"200042","QVB, York St, Stand B","-33.872272","151.2065","","","0"
"200043","QVB, York St, Stand C","-33.87197","151.206479","","","0"
"200044","QVB, York St, Stand D","-33.871298","151.206427","","","0"
"200045","St James Station, Elizabeth St","-33.87208","151.210167","","","0"
"200047","Elizabeth St at Hay St","-33.880871","151.208651","","","0"
"200048","Wynyard Station, York St, Stand P","-33.864755","151.205681","","","0"
"200049","Museum Station, Downing Centre, Stand E","-33.877307","151.209284","","","0"
"200051","Central Station, Eddy Ave, Stand B","-33.882298","151.207463","","","0"
"200053","Central Station, Eddy Ave, Stand C","-33.882131","151.207152","","","0"
"200054","Central Station, Eddy Ave, Stand D","-33.882048","151.206998","","","0"
