route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id,wheelchair_accessible,trip_note,route_direction
2441_891,1,105632,11839,Unsw-High St,0,,1,,PrePay Only - UNSW High St to Central Eddy Ave
2441_891,1,105634,11839,Unsw-High St,0,,1,,PrePay Only - UNSW High St to Central Eddy Ave
2441_891,1,105635,11839,Unsw-High St,0,,1,,PrePay Only - UNSW High St to Central Eddy Ave
2441_891,1,105642,11839,Unsw-High St,0,,1,,PrePay Only - UNSW High St to Central Eddy Ave
2441_891,1,105644,11839,Unsw-High St,0,,1,,PrePay Only - UNSW High St to Central Eddy Ave
2441_891,1,105647,11839,Unsw-High St,0,,1,,PrePay Only - UNSW High St to Central Eddy Ave
2441_891,1,105649,11839,Unsw-High St,0,,1,,PrePay Only - UNSW High St to Central Eddy Ave
2441_891,1,105653,11839,Unsw-High St,0,,1,,PrePay Only - UNSW High St to Central Eddy Ave
2441_891,1,105657,11839,Unsw-High St,0,,1,,PrePay Only - UNSW High St to Central Eddy Ave
2441_891,1,105659,11839,Unsw-High St,0,,1,,PrePay Only - UNSW High St to Central Eddy Ave
2441_891,1,105662,11839,Unsw-High St,0,,1,,PrePay Only - UNSW High St to Central Eddy Ave
2441_891,1,397076,11839,Unsw-High St,0,,1,,PrePay Only - UNSW High St to Central Eddy Ave
2441_891,1,397078,11839,Unsw-High St,0,,1,,PrePay Only - UNSW High St to Central Eddy Ave
2441_391,213,448595,47918,Port Botany Depot,0,,1,,Central Railway Square to La Perouse or Port Botany
2441_391,213,448646,47905,Matraville,0,,2,1492.0,Central Railway Square to La Perouse or Port Botany
2441_391,213,448921,47918,Port Botany Depot,0,,2,,Central Railway Square to La Perouse or Port Botany
2441_391,213,448936,47931,La Perouse,0,,1,1492.0,Central Railway Square to La Perouse or Port Botany
2441_891,1,527166,11839,Unsw-High St,0,,1,,PrePay Only - UNSW High St to Central Eddy Ave
2441_891,213,583221,46504,High St Nr ANZAC Pde UNSW Gate 3,0,,2,,PrePay Only - UNSW High St to Central Eddy Ave
2441_891,213,583222,46504,High St Nr ANZAC Pde UNSW Gate 3,0,,1,,PrePay Only - UNSW High St to Central Eddy Ave
2441_891,213,583223,46504,High St Nr ANZAC Pde UNSW Gate 3,0,,2,,PrePay Only - UNSW High St to Central Eddy Ave
2441_891,213,583224,46504,High St Nr ANZAC Pde UNSW Gate 3,0,,2,,PrePay Only - UNSW High St to Central Eddy Ave
2441_891,213,583225,46504,High St Nr ANZAC Pde UNSW Gate 3,0,,2,,PrePay Only - UNSW High St to Central Eddy Ave
2441_891,213,583226,46504,High St Nr ANZAC Pde UNSW Gate 3,0,,2,,PrePay Only - UNSW High St to Central Eddy Ave
2441_891,115,583227,46504,High St Nr ANZAC Pde UNSW Gate 3,0,,1,,PrePay Only - UNSW High St to Central Eddy Ave
2441_891,213,583228,46504,High St Nr ANZAC Pde UNSW Gate 3,0,,2,,PrePay Only - UNSW High St to Central Eddy Ave
2441_891,115,584024,46504,High St Nr ANZAC Pde UNSW Gate 3,0,,1,,PrePay Only - UNSW High St to Central Eddy Ave
2441_891,115,584025,46504,High St Nr ANZAC Pde UNSW Gate 3,0,,1,,PrePay Only - UNSW High St to Central Eddy Ave
2441_891,115,584026,46504,High St Nr ANZAC Pde UNSW Gate 3,0,,1,,PrePay Only - UNSW High St to Central Eddy Ave
2441_891,213,584027,46504,High St Nr ANZAC Pde UNSW Gate 3,0,,2,,PrePay Only - UNSW High St to Central Eddy Ave
2441_891,213,584028,46504,High St Nr ANZAC Pde UNSW Gate 3,0,,1,,PrePay Only - UNSW High St to Central Eddy Ave
2441_891,115,584029,46504,High St Nr ANZAC Pde UNSW Gate 3,0,,1,,PrePay Only - UNSW High St to Central Eddy Ave
2441_891,213,584030,46504,High St Nr ANZAC Pde UNSW Gate 3,0,,2,,PrePay Only - UNSW High St to Central Eddy Ave
2441_891,164,584031,46504,High St Nr ANZAC Pde UNSW Gate 3,0,,1,,PrePay Only - UNSW High St to Central Eddy Ave
2441_891,115,584032,46504,High St Nr ANZAC Pde UNSW Gate 3,0,,1,,PrePay Only - UNSW High St to Central Eddy Ave
2441_891,213,584033,46504,High St Nr ANZAC Pde UNSW Gate 3,0,,1,,PrePay Only - UNSW High St to Central Eddy Ave
2441_891,115,584034,46504,High St Nr ANZAC Pde UNSW Gate 3,0,,1,,PrePay Only - UNSW High St to Central Eddy Ave
2441_891,213,584135,46504,High St Nr ANZAC Pde UNSW Gate 3,0,,2,,PrePay Only - UNSW High St to Central Eddy Ave
2441_891,115,584136,46504,High St Nr ANZAC Pde UNSW Gate 3,0,,1,,PrePay Only - UNSW High St to Central Eddy Ave
2441_891,213,584137,46504,High St Nr ANZAC Pde UNSW Gate 3,0,,1,,PrePay Only - UNSW High St to Central Eddy Ave
2441_891,213,584138,46504,High St Nr ANZAC Pde UNSW Gate 3,0,,1,,PrePay Only - UNSW High St to Central Eddy Ave
2441_891,115,584139,46504,High St Nr ANZAC Pde UNSW Gate 3,0,,1,,PrePay Only - UNSW High St to Central Eddy Ave
2441_891,213,584140,46504,High St Nr ANZAC Pde UNSW Gate 3,0,,2,,PrePay Only - UNSW High St to Central Eddy Ave
